"Word","Total_Frequency","Included_Frequency","ObsWithNgram","ObsPerct","IDF",1GRAMS,Min_1,Segmentation_None (),"200 Obs Included"
point,1004,1004,188,94,0.0268721464003013
good,993,993,188,94,0.0268721464003013
let,991,991,193,96.5,0.0154726866562074
moment,991,991,190,95,0.0222763947111522
oh,986,986,181,90.5,0.0433514207947967
year,960,960,188,94,0.0268721464003013
foot,958,958,190,95,0.0222763947111522
any,945,945,192,96,0.0177287669604316
first,942,942,192,96,0.0177287669604316
some,942,942,196,98,0.00877392430750515
people,936,936,189,94.5,0.024568191490737
made,932,932,196,98,0.00877392430750515
black,931,931,172,86,0.0655015487564323
heard,930,930,189,94.5,0.024568191490737
great,926,926,192,96,0.0177287669604316
left,912,912,192,96,0.0177287669604316
watch,911,911,192,96,0.0177287669604316
yes,910,910,179,89.5,0.048176964684088
its,907,907,180,90,0.0457574905606751
really,905,905,181,90.5,0.0433514207947967
felt,888,888,184,92,0.0362121726544447
because,887,887,188,94,0.0268721464003013
mrs,883,883,99,49.5,0.305394801066431
fr,873,873,117,58.5,0.23284413391782
hogwart,860,860,170,85,0.0705810742857073
stand,853,853,191,95.5,0.0199966284162537
pull,847,847,187,93.5,0.0291883891274822
close,814,814,190,95,0.0222763947111522
might,810,810,193,96.5,0.0154726866562074
front,808,808,184,92,0.0362121726544447
place,804,804,185,92.5,0.0338582672609674
ever,802,802,187,93.5,0.0291883891274822
need,799,799,185,92.5,0.0338582672609674
happen,795,795,185,92.5,0.0338582672609674
death,787,787,127,63.5,0.197226274708024
make,780,780,189,94.5,0.024568191490737
table,777,777,147,73.5,0.133712660915805
stop,773,773,186,93,0.0315170514460649
neville,772,772,95,47.5,0.323306390375133
talk,771,771,181,90.5,0.0433514207947967
ginny,771,771,102,51,0.292429823902064
george,771,771,114,57,0.244125144327509
old,759,759,186,93,0.0315170514460649
start,758,758,188,94,0.0268721464003013
toward,757,757,151,75.5,0.122053048370812
put,753,753,181,90.5,0.0433514207947967
lupin,743,743,74,37,0.431798275933005
sure,735,735,185,92.5,0.0338582672609674
anything,732,732,182,91,0.0409586076789064
inside,728,728,183,91.5,0.0385789059335518
use,726,726,185,92.5,0.0338582672609674
mcgonagall,724,724,99,49.5,0.305394801066431
another,716,716,188,94,0.0268721464003013
next,714,714,184,92,0.0362121726544447
large,712,712,180,90,0.0457574905606751
yeah,710,710,151,75.5,0.122053048370812
nothing,708,708,182,91,0.0409586076789064
must,700,700,177,88.5,0.0530567293021746
three,699,699,179,89.5,0.048176964684088
few,698,698,185,92.5,0.0338582672609674
mean,692,692,172,86,0.0655015487564323
day,689,689,172,86,0.0655015487564323
boy,688,688,172,86,0.0655015487564323
hear,688,688,185,92.5,0.0338582672609674
while,687,687,188,94,0.0268721464003013
help,680,680,177,88.5,0.0530567293021746
gryffindor,680,680,121,60.5,0.218244625347531
floor,673,673,161,80.5,0.0942041196321314
second,671,671,187,93.5,0.0291883891274822
course,671,671,180,90,0.0457574905606751
own,671,671,185,92.5,0.0338582672609674
find,665,665,184,92,0.0362121726544447
arm,665,665,188,94,0.0268721464003013
