Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
P932101413-1.txt,1,65,94.21,73.08,33.60,99.00,32.50,15.38,43.08,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,7.69,7.69,0.00,0.00,41.54,0.00,10.77,9.23,1.54,0.00,0.00,0.00,6.15,0.00,0.00,0.00,1.54,3.08,0.00,0.00,0.00,0.00,3.08,0.00,1.54,0.00,0.00,1.54,4.62,0.00,3.08,0.00,0.00,4.62,1.54,0.00,1.54,0.00,1.54,1.54,6.15,1.54,18.46,9.23,4.62,4.62,3.08,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62
P932744872-1.txt,1,96,93.79,69.89,3.90,99.00,48.00,19.79,51.04,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,3.12,11.46,1.04,0.00,43.75,1.04,13.54,11.46,2.08,0.00,0.00,1.04,5.21,1.04,1.04,0.00,0.00,5.21,1.04,0.00,1.04,1.04,3.12,0.00,2.08,0.00,0.00,2.08,2.08,0.00,2.08,0.00,0.00,12.50,4.17,3.12,4.17,1.04,1.04,1.04,3.12,2.08,10.42,1.04,2.08,7.29,7.29,9.38,1.04,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,1.04,1.04,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,3.12
P936891561-1.txt,1,65,94.21,85.93,2.53,99.00,32.50,20.00,44.62,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,3.08,6.15,0.00,0.00,41.54,0.00,7.69,7.69,0.00,0.00,0.00,0.00,10.77,4.62,1.54,0.00,1.54,3.08,0.00,0.00,0.00,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,3.08,1.54,0.00,3.08,1.54,4.62,4.62,9.23,3.08,0.00,6.15,7.69,1.54,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.62
P939988919-1.txt,1,91,93.85,88.65,1.00,45.98,45.50,17.58,42.86,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,3.30,5.49,1.10,0.00,43.96,0.00,12.09,6.59,5.49,3.30,0.00,0.00,12.09,6.59,3.30,1.10,4.40,7.69,0.00,1.10,1.10,1.10,4.40,0.00,2.20,0.00,0.00,2.20,3.30,1.10,2.20,0.00,0.00,15.38,7.69,2.20,2.20,1.10,4.40,1.10,5.49,1.10,5.49,2.20,0.00,3.30,3.30,2.20,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.49,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30
P941548013-1.txt,1,95,92.84,66.32,30.23,99.00,47.50,16.84,38.95,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.00,1.05,5.26,8.42,0.00,0.00,44.21,0.00,9.47,8.42,1.05,1.05,0.00,0.00,5.26,2.11,1.05,0.00,1.05,8.42,2.11,2.11,0.00,1.05,4.21,0.00,2.11,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.32,3.16,0.00,2.11,0.00,1.05,2.11,3.16,0.00,15.79,6.32,5.26,4.21,1.05,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,1.05,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16
P942448648-1.txt,1,87,91.64,63.49,1.00,95.04,43.50,14.94,39.08,3.45,1.15,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,1.15,0.00,0.00,0.00,1.15,5.75,9.20,0.00,0.00,43.68,0.00,17.24,10.34,5.75,1.15,4.60,0.00,4.60,0.00,1.15,0.00,0.00,6.90,0.00,1.15,0.00,0.00,5.75,0.00,1.15,0.00,1.15,0.00,0.00,0.00,0.00,0.00,0.00,8.05,2.30,0.00,3.45,1.15,1.15,1.15,5.75,0.00,6.90,1.15,2.30,3.45,1.15,1.15,1.15,1.15,0.00,0.00,1.15,0.00,0.00,1.15,0.00,0.00,5.75,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45
P942785078-1.txt,1,137,93.51,80.94,11.74,93.81,68.50,12.41,44.53,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,0.00,7.30,7.30,0.73,0.00,45.99,0.73,12.41,8.03,3.65,2.19,0.00,0.73,8.76,2.19,0.73,0.73,0.73,4.38,2.19,0.00,0.73,0.00,1.46,0.00,2.19,0.73,0.73,0.73,2.92,0.73,2.19,0.00,0.00,10.22,4.38,2.19,2.19,2.19,1.46,1.46,5.11,0.73,12.41,3.65,2.92,5.84,5.84,1.46,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.38,0.73,0.73,0.00,0.00,0.00,0.00,0.73,0.00,0.00,0.00,2.19
P945361993-1.txt,1,71,94.11,87.02,1.00,99.00,35.50,15.49,35.21,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.00,0.00,0.00,0.00,1.41,5.63,1.41,0.00,42.25,1.41,14.08,12.68,0.00,0.00,0.00,0.00,11.27,1.41,1.41,0.00,0.00,5.63,1.41,0.00,0.00,0.00,4.23,0.00,1.41,0.00,0.00,0.00,4.23,1.41,1.41,0.00,0.00,8.45,5.63,1.41,0.00,1.41,1.41,1.41,1.41,0.00,5.63,1.41,0.00,4.23,0.00,2.82,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.04,1.41,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.23
P949773148-1.txt,1,93,92.84,70.47,1.00,45.52,46.50,22.58,43.01,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,1.08,0.00,0.00,3.23,3.23,0.00,0.00,44.09,3.23,7.53,4.30,3.23,2.15,0.00,0.00,5.38,0.00,0.00,0.00,0.00,5.38,0.00,0.00,1.08,2.15,2.15,0.00,2.15,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,10.75,2.15,3.23,2.15,3.23,2.15,1.08,4.30,1.08,7.53,2.15,1.08,4.30,10.75,0.00,0.00,1.08,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.38,1.08,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23
P951843502-1.txt,1,81,93.97,83.84,1.22,99.00,40.50,22.22,46.91,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,4.94,11.11,2.47,0.00,43.21,0.00,17.28,14.81,1.23,0.00,0.00,0.00,9.88,0.00,1.23,0.00,0.00,11.11,3.70,1.23,0.00,2.47,3.70,0.00,2.47,0.00,1.23,1.23,1.23,0.00,1.23,0.00,0.00,17.28,4.94,8.64,1.23,7.41,2.47,1.23,7.41,0.00,3.70,1.23,0.00,2.47,8.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.17,1.23,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70
